startyear,primarytitle,genres,maxaveragerating,numvotes,runtimeminutes
1994,Cultivating Charlie,Comedy,8.6,11,
1995,Okey si ma'am,"Comedy,Drama",9.2,39,
1996,"Pretty Village, Pretty Flame","Comedy,Drama,History",8.7,13329,115
1997,"Gloria, Gloria Labandera",Comedy,9.1,29,
1997,"Isang tanong, isang sagot","Comedy,Drama,Romance",9.1,47,
1998,Barking at the Stars,"Comedy,Romance",8.7,5891,95
1999,Boondoggle,"Action,Comedy",8.5,13,93
2000,A Dog's Will,"Adventure,Comedy",8.6,9210,104
2001,Highway Amazon,"Comedy,Documentary",9.1,20,70
2002,The Myster General,"Comedy,Documentary",9.4,13,53
2003,Butt Te Bhatti,"Action,Adventure,Comedy",9.2,17,
2004,29 and Holding,Comedy,8.8,16,89
2005,Unsung,Comedy,9,14,65
2006,Living with Uncle Ray,Comedy,8.7,23,74
2006,The Latin Legends of Comedy,"Comedy,Documentary",8.7,13,92
2007,Welcome to Tolono,"Comedy,Drama",8.8,15,92
2008,Your Name Here,"Comedy,Music",9.2,33,83
2009,If You're Looking for Trouble,"Comedy,Musical",9.5,97,88
2010,Bots High,"Comedy,Documentary,Drama",9.3,28,83
2011,Zielinski,"Biography,Comedy,Documentary",9.1,16,60
2012,Jurisdiction,"Action,Comedy,Documentary",9.4,114,50
2013,CM101MMXI Fundamentals,"Comedy,Documentary",9.2,41714,139
2013,The Eurovisionists,"Comedy,Documentary,Music",9.2,11,55
2014,Hoodslam: The Accidental Phenomenon,"Action,Comedy,Documentary",9.2,12,94
2014,Astor Barber All-Stars,"Biography,Comedy,Documentary",9.2,14,80
2014,Lights Camera Bullshit,"Comedy,Drama",9.2,11,95
2014,Loser's Crown,"Comedy,Drama",9.2,12,105
2014,The Weight of Chains 2,"Comedy,Documentary,History",9.2,1017,124
2015,Double Digits: The Story of a Neighborhood Movie Star,"Biography,Comedy,Documentary",9.2,28,76
2015,Oporuka,Comedy,9.2,23,68
2015,NOWRUZ: Lost & Found,"Adventure,Comedy,Documentary",9.2,11,82
2015,The Winchester Orphanage,Comedy,9.2,15,
2016,Adventures of Miss Fit,"Comedy,Documentary,Drama",9.2,17,89
2016,Fan Club,"Comedy,Drama",9.2,26,
2016,Mail Time,"Comedy,Drama,Fantasy",9.2,32,
2017,Avec l'amour,"Comedy,Documentary,Drama",9.3,182,67
2018,Ananthu V/S Nusrath,"Comedy,Drama,Family",9.5,812,149
2019,Once Upon a Time ... in Hollywood,"Comedy,Drama",9.5,8434,161
2019,Foosballers,"Comedy,Documentary,Sport",9.5,25,
2019,Yeh Suhaagraat Impossible,Comedy,9.5,632,92
