startyear,primarytitle,genres,maxaveragerating,numvotes,runtimeminutes
1981,Confusion,Comedy,9.1,12,107
1982,The Marathon Family,"Comedy,Drama",9,13121,92
1982,Piano Players Rarely Ever Play Together,"Documentary,Music",9,26,76
1983,"Disappearing Oasis, Last Oasis",Documentary,9.4,190,91
1984,Kodo: Heartbeat Drummers of Japan,"Documentary,Music",9.3,16,60
1985,The Season,Drama,9.3,11,45
1986,Kailan tama ang mali,Drama,9,37,103
1987,Svet Koji Nestaje,Documentary,9.5,240,109
1988,Kennywood Memories,Documentary,9.2,49,120
1988,The Untouchable Family,"Action,Comedy,Crime",9.2,33,
1988,Anak ng cabron,,9.2,28,
1989,Dresden Diary 3,Adult,9.5,13,
1990,Rocky n Rolly: Suntok sabay takbo,,9.2,27,
1991,Prizori sa Virovitickog bojista,Documentary,9.2,18,
1992,Benny Hill: A Tribute,Documentary,9.1,18,
1992,Holding On,"Adventure,Drama,Family",9.1,13,94
1993,Silang mga sisiw sa lansangan,Drama,9.2,27,
1994,The Best Years Ever,Documentary,9.8,36,78
1995,Miracle in Bosnia,"Documentary,War",9.6,93,52
1996,"I Respond to You, God",Documentary,9.8,44,76
1997,Blood and Musk,Documentary,9.8,45,81
1998,The Return of Paul Jarrett,Documentary,9.4,18,48
1999,Muktir Kotha,Documentary,9.1,49,80
2000,Hey Vinny,Documentary,9.2,17,67
2001,São Paulo: 447th Anniversary,"Documentary,History",9.4,96,88
2002,The Myster General,"Comedy,Documentary",9.4,13,53
2002,Truth & Conviction,Documentary,9.4,50,60
2003,Dancing in Exile,Documentary,9.5,37,
2004,Visions of the Palio,"Documentary,Fantasy",9.3,21,55
2005,Habits,Documentary,9.5,11,85
2006,My Chemical Romance: Life on the Murder Scene,Documentary,9.3,86,120
2006,Nirmala Devi: Freedom and Liberation - Ein Leben für die Freiheit,Documentary,9.3,38,82
2006,Brian on the Boulevard: The Story of a Hollywood Hustler,Documentary,9.3,28,90
2006,Alligator Run,Documentary,9.3,14,
2006,Runners High,Documentary,9.3,73,86
2006,La palomilla salvaje,Documentary,9.3,80,55
2007,99 Amaranto,Documentary,9.3,14,
2007,Bulgaria of All Places,Documentary,9.3,23,94
2008,Establishing a Food Forest,Documentary,9.4,25,90
2009,If You're Looking for Trouble,"Comedy,Musical",9.5,97,88
2010,Kino moje malo,Documentary,9.4,30,105
2010,Soberano: Seis Vezes São Paulo,Documentary,9.4,12,90
2010,Love on a Leash,"Documentary,Family,Romance",9.4,28,10
2011,Bahêa Minha Vida: O Filme,"Documentary,Sport",9.4,20,100
2012,The Face of Birth,Documentary,9.4,58,90
2012,Shelved: The Rise and Fall of 11:11,Documentary,9.4,14,133
2012,The Million Dollar Minute,Documentary,9.4,79,90
2012,Jurisdiction,"Action,Comedy,Documentary",9.4,114,50
2012,Harvesting the High Plains,Documentary,9.4,132,67
2013,Butcher Angels,"Drama,War",9.4,319,
2013,The Other Dreamers,"Biography,Documentary,Drama",9.4,15,47
2013,Decompression,"Adventure,Documentary",9.4,14,29
2014,L'orologio di Monaco,Documentary,9.4,16,63
2014,Bikes Tell Stories,Documentary,9.4,20,67
2014,Mucky Secrets: The Marine Creatures of the Lembeh Strait,Documentary,9.4,31,92
2015,Home,Documentary,9.9,17,58
2016,One Note at a Time,"Documentary,Music",9.5,44,95
2017,Trenches of Rock,"Documentary,Drama,Music",9.6,78,87
2018,Our Friend Jon,Documentary,9.8,28,
2018,RISE: The Story of Augustines,"Documentary,Music",9.8,49,80
2018,30 KM/H,"Adventure,Documentary",9.8,18,68
2019,Runam,Romance,10,119,131
2019,Dinkheller,Documentary,10,18,
2019,Penguin League 2,Animation,10,48,
2019,Avenger Dogs,Animation,10,13,
2019,Father's Day,Animation,10,34,
