tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt1630029,movie,Avatar 2,Avatar 2,false,2021,,,"Action,Adventure,Fantasy"
tt1757678,movie,Avatar 3,Avatar 3,false,2023,,,"Action,Adventure,Drama"
tt3095356,movie,Avatar 4,Avatar 4,false,2025,,,"Action,Adventure,Fantasy"
tt5637536,movie,Avatar 5,Avatar 5,false,2027,,,"Action,Adventure,Fantasy"
